2026-06-03 13:30:02 [INFO]   POST    /calendar/eventos
2026-06-03 13:30:02 [INFO]   POST    /whatsapp/enviar
2026-06-03 13:30:02 [INFO]   GET     /exportar/pdf
2026-06-03 13:30:02 [INFO]   POST    /crear-tarea
2026-06-03 13:30:02 [INFO]   POST    /crear-habito
2026-06-03 13:30:02 [INFO]   POST    /crear-evento
2026-06-03 13:30:02 [INFO]   POST    /chat
2026-06-03 13:30:02 [INFO]   GET     /hoy-prioridades
2026-06-03 13:30:02 [INFO]   GET     /resumen
2026-06-03 13:30:02 [INFO]   GET     /predecir-duracion
2026-06-03 13:30:02 [INFO]   POST    /optimizar-agenda
2026-06-03 13:30:02 [INFO]   GET     /recomendar-habitos
2026-06-03 13:30:02 [INFO]   POST    /sugerir-rutina
2026-06-03 13:30:02 [INFO]   GET     /recomendar-amigos
2026-06-03 13:30:02 [INFO]   GET     /recomendar-proyectos
2026-06-03 13:30:02 [INFO]   POST    /sugerir-logro
2026-06-03 13:30:02 [INFO]   GET     /patrones
2026-06-03 13:30:02 [INFO]   GET     /anomalias
2026-06-03 13:30:02 [INFO]   GET     /sobrecarga
2026-06-03 13:30:02 [INFO]   GET     /settings
2026-06-03 13:30:02 [INFO]   PUT     /settings
2026-06-03 13:30:02 [INFO]   POST    /sessions
2026-06-03 13:30:02 [INFO]   GET     /sessions
2026-06-03 13:30:02 [INFO]   PATCH   /sessions/:id/completar
2026-06-03 13:30:02 [INFO]   PATCH   /sessions/:id/interrumpir
2026-06-03 13:30:02 [INFO]   GET     /estadisticas
2026-06-03 13:30:02 [INFO]   GET     /tareas-sugeridas
2026-06-03 13:30:02 [INFO]   GET     /categorias
2026-06-03 13:30:02 [INFO]   POST    /categorias
2026-06-03 13:30:02 [INFO]   PUT     /categorias/:id
2026-06-03 13:30:02 [INFO]   DELETE  /categorias/:id
2026-06-03 13:30:02 [INFO]   GET     /cuentas
2026-06-03 13:30:02 [INFO]   GET     /cuentas/:id
2026-06-03 13:30:02 [INFO]   POST    /cuentas
2026-06-03 13:30:02 [INFO]   PUT     /cuentas/:id
2026-06-03 13:30:02 [INFO]   DELETE  /cuentas/:id
2026-06-03 13:30:02 [INFO]   GET     /transacciones
2026-06-03 13:30:02 [INFO]   POST    /transacciones
2026-06-03 13:30:02 [INFO]   PUT     /transacciones/:id
2026-06-03 13:30:02 [INFO]   DELETE  /transacciones/:id
2026-06-03 13:30:02 [INFO]   POST    /transferencias
2026-06-03 13:30:02 [INFO]   GET     /presupuestos
2026-06-03 13:30:02 [INFO]   POST    /presupuestos
2026-06-03 13:30:02 [INFO]   PUT     /presupuestos/:id
2026-06-03 13:30:02 [INFO]   DELETE  /presupuestos/:id
2026-06-03 13:30:02 [INFO]   GET     /metas
2026-06-03 13:30:02 [INFO]   POST    /metas
2026-06-03 13:30:02 [INFO]   DELETE  /metas
2026-06-03 13:30:02 [INFO]   PUT     /metas/:id
2026-06-03 13:30:02 [INFO]   DELETE  /metas/:id
2026-06-03 13:30:02 [INFO]   POST    /metas/:id/aportar
2026-06-03 13:30:02 [INFO]   GET     /deudas
2026-06-03 13:30:02 [INFO]   POST    /deudas
2026-06-03 13:30:02 [INFO]   PUT     /deudas/:id
2026-06-03 13:30:02 [INFO]   DELETE  /deudas/:id
2026-06-03 13:30:02 [INFO]   POST    /deudas/:id/pagar
2026-06-03 13:30:02 [INFO]   GET     /resumen/mensual
2026-06-03 13:30:02 [INFO]   GET     /dashboard
2026-06-03 13:30:02 [INFO]   GET     /health
